volume,r,z_top,z_bot,len_in,len_out,z_e,z_c,offset,version
mc,0.2032,0.146105,-0.294933,0.428337,0.441037,0.556808,-0.187951,-0.0744137,new
poly,1.06246,1.13209,-1.13209,1.66417,2.26417,0.389079,-0.355679,0,new
